City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,christchurch,-43.5333,172.6333,281.86,82,100,8.23,NZ,1721627121
247,inirida,3.8653,-67.9239,293.93,99,91,0.85,CO,1721627122
248,zhanaozen,43.3,52.8,302.46,39,9,3.74,KZ,1721627123
249,taro,-8.3862,115.28,299.15,63,39,1.64,ID,1721627124
250,mount pearl,47.5166,-52.7813,289.44,93,40,8.75,CA,1721627126
251,east london,-33.0153,27.9116,283.67,71,0,3.6,ZA,1721627127
252,tazovsky,67.4667,78.7,284.26,49,22,4.41,RU,1721627128
253,cassilandia,-19.1133,-51.7342,290.84,47,1,1.53,BR,1721627026
254,stephenville,32.2207,-98.2023,296.58,90,95,2.14,US,1721627131
255,kuta,-8.7233,115.1723,303.12,70,40,6.69,ID,1721627132
256,kununurra,-15.7667,128.7333,301.14,20,12,5.14,AU,1721627133
257,siwa oasis,29.2041,25.5195,305.24,36,0,3.67,EG,1721627134
258,qingnian,36.8456,115.7117,309.69,51,48,5.46,CN,1721627136
259,orita eruwa,7.55,3.4333,294.03,98,55,0.94,NG,1721627137
260,qingdao,36.0986,120.3719,296.93,100,100,1.0,CN,1721627138
261,tefe,-3.3542,-64.7114,295.04,77,69,1.18,BR,1721627139
262,new norfolk,-42.7826,147.0587,289.22,68,100,3.1,AU,1721627140
263,thinadhoo,0.5333,72.9333,302.54,71,70,5.08,MV,1721627141
264,hinis,39.3606,41.7022,295.69,50,0,1.77,TR,1721627142
265,nizhneangarsk,55.7833,109.55,295.97,52,95,2.46,RU,1721627143
266,mount isa,-20.7333,139.5,298.02,15,0,5.66,AU,1721627145
267,brookings,44.3114,-96.7984,292.34,95,0,2.06,US,1721626906
268,cody,44.5263,-109.0565,294.27,39,0,1.54,US,1721627147
269,dudinka,69.4058,86.1778,284.81,44,23,7.43,RU,1721627148
270,ginir,7.1333,40.7,291.48,71,100,3.94,ET,1721627149
271,hamilton,39.1834,-84.5333,295.91,75,75,0.0,US,1721627020
272,benguela,-12.5763,13.4055,293.21,82,12,1.02,AO,1721627151
273,lazaro cardenas,17.9583,-102.2,299.62,82,95,1.4,MX,1721627152
274,antsiranana,-12.2787,49.2917,299.57,57,20,7.2,MG,1721627153
275,gamba,-2.65,10.0,293.71,92,38,1.35,GA,1721627154
276,salym,60.0625,71.4789,292.37,38,89,3.19,RU,1721627156
277,bechar,31.6167,-2.2167,306.33,16,20,2.57,DZ,1721627157
278,saint-denis,48.9167,2.3333,289.92,82,0,3.6,FR,1721627158
279,leninsk,48.7119,45.1994,303.94,27,79,2.24,RU,1721627159
280,aral,40.5156,81.2636,306.19,24,100,0.77,CN,1721627160
281,berwick,41.0545,-76.2333,292.98,90,100,1.34,US,1721627161
282,kharabali,47.4196,47.2568,303.67,30,69,1.79,RU,1721627163
283,aykhal,66.0,111.5,291.59,42,36,7.07,RU,1721627165
284,moya,28.0906,-15.5883,292.08,87,48,6.76,ES,1721627166
285,launceston,-41.45,147.1667,286.95,82,40,8.75,AU,1721627167
286,lesina,41.8594,15.3527,298.63,61,46,2.23,IT,1721627168
287,tarauaca,-8.1614,-70.7656,295.32,69,2,1.11,BR,1721627169
288,caetes,-8.7731,-36.6225,286.89,95,50,2.82,BR,1721627170
289,pionerskiy,54.9508,20.2275,294.06,77,21,3.97,RU,1721627171
290,guadalajara,20.6667,-103.3333,292.02,88,40,1.54,MX,1721626863
291,fuerte olimpo,-21.0415,-57.8738,292.87,35,15,1.84,PY,1721627173
292,colon,9.3592,-79.9014,298.12,89,97,1.34,PA,1721627175
293,luumaki,60.9262,27.5814,294.18,68,3,2.38,FI,1721627176
294,vikhorevka,56.1201,101.1636,300.92,42,100,1.7,RU,1721627177
295,usogorsk,63.4106,48.6872,293.35,33,75,1.9,RU,1721627178
296,oltinko'l,40.8011,72.1634,311.98,12,0,4.3,UZ,1721627179
297,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,68,20,6.0,RU,1721627180
298,upata,8.0086,-62.3989,294.7,98,93,1.31,VE,1721627181
299,afaahiti,-17.75,-149.2833,296.08,67,99,10.99,PF,1721627182
300,fada,7.25,4.0667,294.13,99,61,0.59,NG,1721627183
301,crixas,-14.5489,-49.9692,291.82,47,0,2.05,BR,1721627186
302,harstad,68.799,16.5293,295.81,58,32,9.39,NO,1721627187
303,talnakh,69.4865,88.3972,285.1,44,12,7.23,RU,1721627188
304,jawf al maqbabah,13.8378,45.8349,303.06,53,100,1.68,YE,1721627189
305,fisterra,42.9049,-9.2629,288.57,79,0,7.51,ES,1721627190
306,uturoa,-16.7333,-151.4333,297.44,68,74,11.07,PF,1721627191
307,port lavaca,28.615,-96.6261,301.14,94,0,2.06,US,1721627192
308,sungai raya,0.7,108.9,304.57,63,94,5.78,ID,1721627194
309,yeniseysk,58.4497,92.1703,300.94,49,88,0.46,RU,1721627004
310,sungai penuh,-2.0833,101.3833,301.06,51,40,3.27,ID,1721627196
311,cagsiay,14.2167,121.75,299.23,84,100,5.19,PH,1721627197
312,howrah,22.5892,88.3103,305.15,79,75,4.12,IN,1721627055
313,timimoun,29.2639,0.231,305.36,11,0,3.6,DZ,1721627199
314,ubauro,28.1652,69.7289,313.48,32,86,5.82,PK,1721627200
315,utrik,11.2278,169.8474,301.17,81,76,7.22,MH,1721627201
316,paracale,14.2804,122.7881,299.15,88,100,6.81,PH,1721627202
317,mitu,1.1983,-70.1733,294.19,97,97,0.6,CO,1721627204
318,eastbourne,50.7687,0.2845,290.22,89,15,2.24,GB,1721627205
319,clarkston heights-vineland,46.3874,-117.083,304.88,32,22,0.73,US,1721627206
